# system_size, network_name, epoch, replay_memory, device, learning_rate, target_update, optimizer, discount_factor, total_training_steps, mean_q_list, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, failure_rate, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,size_7_NN_17,1,proportional,cpu,0.00025,10,Adam,0.95,50,-0.012,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,2,proportional,cpu,0.00025,10,Adam,0.95,100,-0.007,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,3,proportional,cpu,0.00025,10,Adam,0.95,150,-0.004,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,4,proportional,cpu,0.00025,10,Adam,0.95,200,-0.001,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,5,proportional,cpu,0.00025,10,Adam,0.95,250,0.015,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,6,proportional,cpu,0.00025,10,Adam,0.95,300,0.042,0.1,1,1.0,0.0,0.0,5.0,0,0.1
5,size_7_NN_17,7,proportional,cpu,0.00025,10,Adam,0.95,350,0.015,0.1,1,1.0,0.0,0.0,5.0,0,0.1
